link,candidate,ReportName,ReportLink,reportType,start of period,End of period,Due Date,Filed Date,amended,document image,Year
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/220896/215/177906/20777/0,220896,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/94e42446-850a-4cdd-b407-9b760fce4230.pdf,Candidate Carryover Fund Report,6/7/2018,1/24/2019,1/24/2019,4/15/2019,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/220896/215/177906/20777/0,220896,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/a4779106-a2d4-4f6d-baa0-23da93b1e74a.pdf,Candidate Carryover Fund Report,6/7/2018,1/25/2019,1/25/2019,1/25/2019,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/220896/215/177906/20777/0,220896,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/92d98860-3f81-46cd-b4f1-c066531d7584.pdf,Candidate Carryover Fund Report,1/13/2018,6/6/2018,6/6/2018,6/6/2018,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/220896/215/177906/20777/0,220896,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/062d9214-4424-47f2-b2c1-db846f3b9715.pdf,Candidate Carryover Fund Report,1/2/2016,1/12/2018,1/12/2018,1/12/2018,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/221076/214/177714/20777/0,221076,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/0a663a34-467f-444f-b822-007d79566e2c.pdf,Candidate Carryover Fund Report,1/2/2016,9/22/2017,9/22/2017,9/22/2017,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/221208/214/177722/20777/0,221208,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/1bd5889f-40f3-421d-b9c2-5914a329bbb8.pdf,Candidate Carryover Fund Report,1/2/2016,9/28/2017,9/28/2017,9/28/2017,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/221242/215/178030/20777/0,221242,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/b52ffeae-2e4d-49de-9bc1-aaf7ff25d14b.pdf,Candidate Carryover Fund Report,1/12/2018,10/11/2018,10/11/2018,10/12/2018,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/221242/215/178030/20777/0,221242,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/47f1aea8-8ddb-49cf-b288-3a3060b7faa7.pdf,Candidate Carryover Fund Report,10/14/2017,1/10/2018,1/10/2018,1/11/2018,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/221242/215/178030/20777/0,221242,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/22bc3f8f-3e98-4aaf-93cc-d7c8de10547d.pdf,Candidate Carryover Fund Report,1/2/2016,10/13/2017,10/13/2017,10/13/2017,,,2016
https://financial-disclosures.sos.arkansas.gov/index.html#/exploreDetails/221448/214/177725/20777/0,221448,Carryover Funds Report,https://financial-disclosures.sos.arkansas.gov//CFISAR_Service/ReportsOutput/91/3170e41c-e1ab-49ef-8b93-1c1d8680d7ff.pdf,Candidate Carryover Fund Report,1/11/2018,4/14/2018,4/14/2018,4/14/2018,,,2016
